Member_ID,Constituency_ID,Symbol_name,File_link,Date_of_Reg,Time_Stamp
125,1245,bjp,./bjp.png,14/05/2019,12:02:58
482,4512,con,./con.png,25/04/2018,11:02:48
475,6325,bsp,./bsp.png,12/04/2017,7:53:12
487,7854,sp,./sp.png,14/02/2018,10:48:36
236,9658,abc,./abc.png,12/02/2016,11:25:15
965,1245,xyz,./xyz.png,28/05/2019,12:25:14
517,4512,BJP,./BJP.jpg,24/05/2020,12:02:08
524,4512,BJP,./BJP.jpg,24/05/2020,15:08:21
266,1245,BJP,./BJP.jpg,24/05/2020,15:23:51
661,1245,INC,./INC.jpg,24/05/2020,15:27:55
619,6325,Congress,./Congress.jpg,05/10/2020,15:29:28
